File Type,Element Type,Element Name,Suggested Name
.ts,variable,deleteFileById,delete_file_by_id
.svelte,variable,stopRecordingCallback,stop_recording_callback
.py,variable,contents,contents
.js,function,utf8CheckIncomplete,utf8check_incomplete
.js,function,toHtmlNoop,to_html_noop
.js,class,ResumableMultiRegex,resumable_multi_regex
.js,function,onfinish,onfinish
.py,variable,OAUTH_USERNAME_CLAIM,oauth_username_claim
.py,variable,DATABASE_URL,database_url
.py,variable,current_length,current_length
.py,function,mock_user,mock_user
.js,function,EvalError,eval_error
.svelte,variable,getVideoInputDevices,get_video_input_devices
.js,function,_isRegExp,_is_reg_exp
.js,function,assertNotInfinite,assert_not_infinite
.svelte,variable,comment,comment
.svelte,function,selectTemplate,select_template
.py,variable,mid,mid
.js,function,checkIntBI,check_int_bi
.js,function,authorizeApplication,authorize_application
.js,function,_xreduceBy,_xreduce_by
.svelte,variable,chatDirection,chat_direction
.py,variable,maxsplit,maxsplit
.py,function,delete_auth_by_id,delete_auth_by_id
.ts,function,blobToFile,blob_to_file
.js,function,resolveGenericStrategy,resolve_generic_strategy
.svelte,function,saveRecording,save_recording
.js,function,arrayEach,array_each
.js,function,createWrappedLine,create_wrapped_line
.ts,variable,parsePngText,parse_png_text
.py,variable,ddgs_gen,ddgs_gen
.py,variable,args,args
.py,variable,auto_error,auto_error
.js,function,decodeChunk,decode_chunk
.ts,variable,loadResource,load_resource
.py,variable,INVALID_TRUSTED_HEADER,invalid_trusted_header
.ts,variable,deleteAllFiles,delete_all_files
.py,variable,AUTOMATIC1111_SAMPLER,automatic1111_sampler
.py,function,get_base_models,get_base_models
.py,function,convert_content_blocks_to_messages,convert_content_blocks_to_messages
.js,function,fnparser,fnparser
.py,function,get_chats,get_chats
.js,function,_toString_toString,_to_string_to_string
.js,function,emptyFunction,empty_function
.js,function,writeNode,write_node
.ts,function,generateRegexRules,generate_regex_rules
.ts,variable,processWebSearch,process_web_search
.py,variable,EXA_API_KEY,exa_api_key
.py,variable,channel_id,channel_id
.svelte,variable,rawAudio,raw_audio
.js,function,sub,sub
.py,variable,connection_user,connection_user
.js,function,_isFunction,_is_function
.js,function,operation_wrapper,operation_wrapper
.js,function,_inheritsLoose,_inherits_loose
.py,function,test_signin,test_signin
.svelte,svelte_prop,command,command
.py,variable,CODE_EXECUTION_JUPYTER_AUTH_PASSWORD,code_execution_jupyter_auth_password
.svelte,variable,showAddOpenAIConnectionModal,show_add_open_aiconnection_modal
.js,function,isRelativeUrlWithoutProtocol,is_relative_url_without_protocol
.js,function,clearRequest,clear_request
.py,function,compress_audio,compress_audio
.js,function,absoluteify,absoluteify
.js,function,toSource,to_source
.py,variable,connectable,connectable
.py,variable,req,req
.py,class,Feedback,feedback
.py,variable,facts,facts
.svelte,variable,position,position
.js,function,finishMaybe,finish_maybe
.svelte,svelte_prop,admin,admin
.py,variable,pdf_bytes,pdf_bytes
.js,function,bidirectionalIndexOf,bidirectional_index_of
.js,function,execute_execute,execute_execute
.js,function,asciiWords,ascii_words
.py,class,Prompt,prompt
.svelte,variable,focusNode,focus_node
.py,variable,Valves,valves
.js,function,castPath,cast_path
.py,variable,current_constraints,current_constraints
.js,function,_listeners,_listeners
.py,variable,backtick_segments,backtick_segments
.py,function,stream_body_handler,stream_body_handler
.py,variable,server_metadata_url,server_metadata_url
.py,function,generate_chat_completion,generate_chat_completion
.py,variable,progress,progress
.ts,variable,indexSrc,index_src
.ts,function,createOpenAITextStream,create_open_aitext_stream
.js,function,typeof_typeof,typeof_typeof
.js,function,Gamma1l,gamma1l
.svelte,variable,chatIdProp,chat_id_prop
.svelte,variable,showAddModel,show_add_model
.py,function,update_folder_parent_id_by_id,update_folder_parent_id_by_id
.py,variable,SHOW_ADMIN_DETAILS,show_admin_details
.js,function,base64clean,base64clean
.py,variable,sub_config,sub_config
.ts,interface,Window,window
.js,variable,_8bit,_8bit
.py,function,reset,reset
.ts,variable,showOverview,show_overview
.js,function,copySymbols,copy_symbols
.js,function,_return,_return
.py,variable,modelfiles,modelfiles
.svelte,variable,onResize,on_resize
.js,function,_objectSpread,_object_spread
.svelte,variable,debounceSubmitHandler,debounce_submit_handler
.svelte,svelte_prop,bottomPadding,bottom_padding
.py,variable,swagger_js_url,swagger_js_url
.py,function,has_collection,has_collection
.py,variable,snapshot_kwargs,snapshot_kwargs
.js,function,IndexedIterable,indexed_iterable
.svelte,variable,normalizeRMS,normalize_rms
.svelte,variable,selectedGroupId,selected_group_id
.js,function,makeNewMessage,make_new_message
.js,variable,validateRnmCallbackResult,validate_rnm_callback_result
.js,function,ParserInline,parser_inline
.svelte,function,searchSettings,search_settings
.py,variable,base_model_id,base_model_id
.js,function,makeSet,make_set
.svelte,function,processDirectory,process_directory
.js,function,_objectWithoutPropertiesLoose,_object_without_properties_loose
.py,function,process_file,process_file
.svelte,variable,OPENAI_API_KEYS,openai_api_keys
.js,function,replaceAt,replace_at
.py,variable,methods,methods
.js,function,get_attributes,get_attributes
.js,function,resolveYamlMerge,resolve_yaml_merge
.js,function,isOrderedSet,is_ordered_set
.py,class,FeedbackModel,feedback_model
.js,function,anyPass,any_pass
.ts,variable,SUPPORTED_FILE_TYPE,supported_file_type
.js,function,_xArrayReduce,_x_array_reduce
.py,function,replace_messages_variable,replace_messages_variable
.py,variable,parsed_url,parsed_url
.js,function,parametersIncludeType,parameters_include_type
.svelte,variable,deletePrompt,delete_prompt
.js,function,isOpenAPI30,is_open_api30
.py,variable,user_oauth_groups,user_oauth_groups
.svelte,variable,edges,edges
.ts,variable,endDelimiter,end_delimiter
.py,class,ModelParams,model_params
.js,function,either,either
.js,function,deepEqual,deep_equal
.svelte,variable,confirmEdit,confirm_edit
.js,function,_array_with_holes,_array_with_holes
.py,variable,chunk,chunk
.py,variable,session_user,session_user
.py,variable,completion_form,completion_form
.py,function,create_new_knowledge,create_new_knowledge
.py,variable,temp_blocks,temp_blocks
.py,class,User,user
.py,function,delete_channel_by_id,delete_channel_by_id
.js,function,updateList,update_list
.js,function,onlyOAS3,only_oas3
.py,variable,tool_call,tool_call
.py,variable,enabled_action_ids,enabled_action_ids
.py,variable,filename,filename
.ts,variable,getOpenAIConfig,get_open_aiconfig
.py,variable,MICROSOFT_OAUTH_SCOPE,microsoft_oauth_scope
.svelte,variable,selectedPromptIdx,selected_prompt_idx
.ts,variable,getPinnedChatList,get_pinned_chat_list
.py,variable,tags,tags
.js,function,isNumber,is_number
.js,function,mapCacheSet,map_cache_set
.svelte,svelte_prop,onAddMessages,on_add_messages
.py,variable,__name__,__name__
.py,variable,AUDIO_STT_OPENAI_API_BASE_URL,audio_stt_openai_api_base_url
.svelte,variable,messageElement,message_element
.py,variable,results,results
.py,function,get_pipeline_valves,get_pipeline_valves
.py,function,delete_all_tags_by_id_and_user_id,delete_all_tags_by_id_and_user_id
.js,function,baseSlice,base_slice
.js,function,bash,bash
.py,variable,extract_images,extract_images
.svelte,variable,chatItems,chat_items
.py,variable,SESSION_SECRET,session_secret
.ts,variable,messageContentParts,message_content_parts
.js,function,trunc,trunc
.py,variable,seed,seed
.ts,function,compareVersion,compare_version
.ts,function,sleep,sleep
.py,function,update_query_settings,update_query_settings
.js,function,useTabs,use_tabs
.py,function,update_tools_valves_by_id,update_tools_valves_by_id
.py,variable,action,action
.py,function,get_all_models_responses,get_all_models_responses
.js,function,indentString,indent_string
.svelte,variable,offset,offset
.py,variable,model_id,model_id
.js,function,propOr,prop_or
.js,function,applyPatch,apply_patch
.svelte,variable,uploadFileHandler,upload_file_handler
.js,function,has,has
.svelte,variable,showResetConfirm,show_reset_confirm
.js,function,showDefinitions,show_definitions
.js,function,processBuffer,process_buffer
.svelte,variable,editedContent,edited_content
.ts,variable,personality,personality
.js,function,updateJsonSpec,update_json_spec
.svelte,variable,addOllamaConnectionHandler,add_ollama_connection_handler
.py,variable,function_cache_dir,function_cache_dir
.py,variable,QUERY_GENERATION,query_generation
.js,function,SetCache,set_cache
.ts,variable,hashArray,hash_array
.py,function,set_xframe,set_xframe
.js,function,MentionMatcher,mention_matcher
.py,function,add_user,add_user
.js,function,classNames,class_names
.svelte,variable,updatedMessage,updated_message
.js,function,context_tree_updateNode,context_tree_update_node
.py,variable,my_important_option,my_important_option
.js,function,nodeTypeGetter,node_type_getter
.svelte,variable,checkPythonCode,check_python_code
.py,variable,SPEECH_CACHE_DIR,speech_cache_dir
.js,function,getParameter,get_parameter
.js,function,producesOptionsFor,produces_options_for
.py,variable,DOCKER,docker
.ts,variable,updateOpenAIKeys,update_open_aikeys
.py,class,ToolModel,tool_model
.py,function,set_banners,set_banners
.svelte,svelte_prop,users,users
.js,function,map,map
.js,function,isHighlightJs,is_highlight_js
.py,class,PromptUserResponse,prompt_user_response
.py,variable,cors_allowed_origins,cors_allowed_origins
.py,class,TagTable,tag_table
.py,variable,get_kwargs,get_kwargs
.svelte,variable,manifest,manifest
.svelte,svelte_prop,edges,edges
.js,variable,arrayOrEmpty,array_or_empty
.py,function,get_chat_by_id,get_chat_by_id
.js,function,getNestedErrorsWithPaths,get_nested_errors_with_paths
.svelte,variable,collections,collections
.py,variable,full_context,full_context
.ts,variable,updateMemoryById,update_memory_by_id
.py,variable,is_primary,is_primary
.py,function,validate_cors_origins,validate_cors_origins
.svelte,variable,nameUpdateHandler,name_update_handler
.js,function,pipeOnDrainFunctionResult,pipe_on_drain_function_result
.py,variable,RAG_OPENAI_API_KEY,rag_openai_api_key
.js,function,resolveOpenAPI2Strategy,resolve_open_api2strategy
.py,variable,urls,urls
.py,function,insert_new_folder,insert_new_folder
.js,function,_classCallCheck,_class_call_check
.js,function,Mixin,mixin
.py,variable,oauth_id_token,oauth_id_token
.py,variable,entry,entry
.py,function,search_searchapi,search_searchapi
.ts,variable,createNewTool,create_new_tool
.svelte,variable,toggleTitleAutoGenerate,toggle_title_auto_generate
.js,function,truncateMiddle,truncate_middle
.svelte,variable,onDrop,on_drop
.svelte,function,getContents,get_contents
.py,variable,user_data,user_data
.py,function,openai_chat_chunk_message_template,openai_chat_chunk_message_template
.svelte,variable,label,label
.js,function,mixin,mixin
.js,function,capitalize,capitalize
.svelte,variable,messageParentId,message_parent_id
.py,variable,user_message,user_message
.py,variable,cafile,cafile
.svelte,variable,url,url
.svelte,variable,outcome,outcome
.svelte,variable,TTS_OPENAI_API_KEY,tts_openai_api_key
.svelte,variable,audioBlob,audio_blob
.js,function,createDeepLinkPath,create_deep_link_path
.js,function,captureWrapperProps,capture_wrapper_props
.ts,variable,capitalizeFirstLetter,capitalize_first_letter
.svelte,function,stopResponse,stop_response
.py,variable,documents,documents
.js,function,Sha256,sha256
.py,variable,new_value,new_value
.ts,function,getTrimmedValue,get_trimmed_value
.svelte,variable,executePython,execute_python
.js,variable,buildNestedParams,build_nested_params
.svelte,function,status,status
.py,variable,forward_params,forward_params
.js,function,createSelectorCreator,create_selector_creator
.py,variable,SEARCHAPI_API_KEY,searchapi_api_key
.py,function,get_pinned_chats_by_user_id,get_pinned_chats_by_user_id
.js,function,flow,flow
.py,class,ReactionForm,reaction_form
.js,function,constant,constant
.py,class,ModelModel,model_model
.py,variable,auth1111_base64_encoded_string,auth1111_base64_encoded_string
.py,variable,OAUTH_EMAIL_CLAIM,oauth_email_claim
.svelte,variable,messageEditTextAreaElement,message_edit_text_area_element
.js,function,toNumber,to_number
.js,variable,setRetainRequestBodyValueFlag,set_retain_request_body_value_flag
.svelte,variable,toggleRichTextInput,toggle_rich_text_input
.py,function,get_sorted_filter_ids,get_sorted_filter_ids
.py,variable,oauth_manager,oauth_manager
.svelte,variable,onMessageHandler,on_message_handler
.ts,variable,OPENAI_API_CONFIGS,openai_api_configs
.py,variable,section_items,section_items
.js,function,optional,optional
.py,class,Modelfile,modelfile
.svelte,svelte_prop,manifest,manifest
.py,variable,weights,weights
.js,function,_isString,_is_string
.py,variable,faster_whisper_kwargs,faster_whisper_kwargs
.ts,variable,exportFunctions,export_functions
.js,function,addKeyword,add_keyword
.ts,function,removeFormattings,remove_formattings
.svelte,svelte_prop,collections,collections
.js,class,visitors_Visitor_Visitor,visitors_visitor_visitor
.ts,variable,addFileToKnowledgeById,add_file_to_knowledge_by_id
.js,function,parseAbbr,parse_abbr
.py,function,get_admin_details,get_admin_details
.js,function,isStrictComparable,is_strict_comparable
.py,variable,attributes,attributes
.js,function,forEachNewPrimitive,for_each_new_primitive
.js,function,hasIterator,has_iterator
.py,function,_result_to_get_result,_result_to_get_result
.ts,variable,hours,hours
.py,variable,index_docs,index_docs
.py,variable,formatted_date,formatted_date
.py,function,ldap_auth,ldap_auth
.svelte,variable,onDragLeave,on_drag_leave
.js,function,utils_memoizeN,utils_memoize_n
.py,variable,USER_PERMISSIONS_CHAT_DELETE,user_permissions_chat_delete
.js,class,SubRange,sub_range
.js,function,howMuchToRead,how_much_to_read
.js,variable,base16,base16
.svelte,variable,showPinnedChat,show_pinned_chat
.py,variable,embeddings,embeddings
.js,variable,trailingSlash,trailing_slash
.js,function,querystring,querystring
.py,function,get_archived_session_user_chat_list,get_archived_session_user_chat_list
.svelte,svelte_prop,label,label
.svelte,variable,pipelineUrls,pipeline_urls
.svelte,variable,pinned,pinned
.py,function,extract_frontmatter,extract_frontmatter
.svelte,svelte_prop,editorClassName,editor_class_name
.js,function,fromArrayBuffer,from_array_buffer
.svelte,variable,valves_spec,valves_spec
.py,variable,settings,settings
.svelte,variable,dismissible,dismissible
.svelte,variable,cloneHandler,clone_handler
.svelte,variable,messageInput,message_input
.svelte,svelte_prop,url,url
.svelte,variable,showManageModal,show_manage_modal
.svelte,variable,explainHandler,explain_handler
.js,function,emptySet,empty_set
.ts,variable,jsonStartIndex,json_start_index
.js,function,baseProperty,base_property
.svelte,variable,directConnectionsConfig,direct_connections_config
.py,function,embed,embed
.py,variable,retrievers,retrievers
.js,function,CompileError,compile_error
.py,class,ConnectionVerificationForm,connection_verification_form
.ts,variable,arrayBuffer,array_buffer
.svelte,variable,statsA,stats_a
.svelte,variable,inactivityTimeout,inactivity_timeout
.js,function,skipWhileFactory,skip_while_factory
.py,variable,force,force
.py,function,search_bing,search_bing
.js,function,isOfTypeObject_typeof,is_of_type_object_typeof
.js,function,sup,sup
.py,function,create_task,create_task
.py,function,verify_signature,verify_signature
.svelte,variable,stopAllAudio,stop_all_audio
.py,variable,size,size
.py,variable,env,env
.py,function,get_priority,get_priority
.js,function,ondata,ondata
.js,function,createStore,create_store
.svelte,variable,stream,stream
.py,variable,tool_name,tool_name
.svelte,variable,className,class_name
.py,variable,RAG_EMBEDDING_ENGINE,rag_embedding_engine
.py,function,update_user_groups,update_user_groups
.ts,variable,toggleGlobalById,toggle_global_by_id
.py,function,process_result_value,process_result_value
.svelte,variable,isShiftPressed,is_shift_pressed
.py,function,get_app_latest_release_version,get_app_latest_release_version
.js,function,readInt16BE,read_int16be
.svelte,variable,emoji,emoji
.py,function,get_manifest_json,get_manifest_json
.py,variable,RAG_WEB_SEARCH_RESULT_COUNT,rag_web_search_result_count
.svelte,variable,audioAbortController,audio_abort_controller
.py,variable,SRC_LOG_LEVELS,src_log_levels
.svelte,variable,feedbacks,feedbacks
.py,variable,NAME_TAG_TAKEN,name_tag_taken
.py,function,_result_to_search_result,_result_to_search_result
.ts,variable,scale,scale
.svelte,variable,generateId,generate_id
.svelte,variable,customFieldValue,custom_field_value
.js,function,preauthorizeBasic,preauthorize_basic
.svelte,variable,STT_MODEL,stt_model
.js,function,_isInteger,_is_integer
.ts,variable,sanitizedFileName,sanitized_file_name
.ts,variable,convertOpenAIMessages,convert_open_aimessages
.js,function,convertLib,convert_lib
.py,variable,voices_data,voices_data
.svelte,variable,baseModels,base_models
.py,variable,proxies,proxies
.py,variable,id_token_hint,id_token_hint
.py,variable,CODE_INTERPRETER_JUPYTER_AUTH,code_interpreter_jupyter_auth
.svelte,variable,showAdvanced,show_advanced
.js,function,parseLinkDestination,parse_link_destination
.ts,variable,startIndex,start_index
.py,function,search_web,search_web
.py,variable,success,success
.py,function,update_chat_title_by_id,update_chat_title_by_id
.py,function,test_delete_all_user_chats,test_delete_all_user_chats
.svelte,svelte_prop,pane,pane
.py,variable,reasoning_display_content,reasoning_display_content
.svelte,variable,confirmPrompt,confirm_prompt
.py,variable,all_results,all_results
.svelte,svelte_prop,messageInput,message_input
.js,function,backticks,backticks
.py,variable,YOUTUBE_LOADER_LANGUAGE,youtube_loader_language
.svelte,variable,typingUsersTimeout,typing_users_timeout
.py,function,deactivate_all_functions,deactivate_all_functions
.js,function,captureSegment,capture_segment
.js,function,skipMarker,skip_marker
.py,class,ImportConfigForm,import_config_form
.py,variable,ALGORITHM,algorithm
.py,variable,embedded_queries,embedded_queries
.js,function,defineProperty,define_property
.ts,variable,stopTask,stop_task
.py,variable,old_auth,old_auth
.py,variable,vectors_config,vectors_config
.py,function,emoji_generation_template,emoji_generation_template
.js,variable,touchEndY,touch_end_y
.js,function,SetSeq,set_seq
.py,variable,AUTOMATIC1111_API_AUTH,automatic1111_api_auth
.svelte,variable,LIKE_REASONS,like_reasons
.py,variable,SERPAPI_API_KEY,serpapi_api_key
.js,function,shift,shift
.js,function,writeBigInt64BE,write_big_int64be
.svelte,variable,deleteAllChatsHandler,delete_all_chats_handler
.py,class,Tag,tag
.svelte,variable,hasSound,has_sound
.js,function,powershell,powershell
.js,variable,refract,refract
.py,variable,memories,memories
.py,function,update_file_data_content_by_id,update_file_data_content_by_id
.py,function,verify_connection,verify_connection
.py,variable,tools_specs,tools_specs
.js,function,equalArrays,equal_arrays
.py,function,download_db,download_db
.py,variable,doc,doc
.svelte,variable,onBack,on_back
.js,function,emit,emit
.js,function,onReadable,on_readable
.py,class,ColBERT,col_bert
.js,function,forEachNewPatch,for_each_new_patch
.js,function,mergeIntoCollectionWith,merge_into_collection_with
.js,function,fromJSDefault,from_jsdefault
.py,variable,transcript_file,transcript_file
.ts,variable,parts,parts
.svelte,variable,isFirstMessage,is_first_message
.svelte,variable,newPassword,new_password
.js,function,cloneByPath,clone_by_path
.svelte,variable,modelInputFile,model_input_file
.ts,variable,downloadChatAsPDF,download_chat_as_pdf
.py,variable,FILE_EXISTS,file_exists
.py,variable,WEBSOCKET_REDIS_URL,websocket_redis_url
.svelte,variable,dotProduct,dot_product
.js,variable,es_T,es_t
.js,function,arrayLikeToArray_arrayLikeToArray,array_like_to_array_array_like_to_array
.js,function,dependencyOnParent,dependency_on_parent
.svelte,variable,isCollapsibleOpen,is_collapsible_open
.svelte,variable,showManifestModal,show_manifest_modal
.py,function,get_config,get_config
.svelte,variable,fileUploadEnabled,file_upload_enabled
.js,variable,ThrownErrorItem,thrown_error_item
.py,variable,event_call,event_call
.svelte,variable,STT_OPENAI_API_KEY,stt_openai_api_key
.py,variable,endpoint,endpoint
.js,function,findIndex,find_index
.py,function,search_searxng,search_searxng
.ts,variable,deleteMessage,delete_message
.js,function,Ruler,ruler
.svelte,variable,createFileFromText,create_file_from_text
.js,function,XWrap,xwrap
.js,function,encoders_binary,encoders_binary
.ts,variable,crc,crc
.js,class,Response,response
.js,variable,isEmptyValue,is_empty_value
.svelte,variable,saveSessionSelectedModels,save_session_selected_models
.svelte,variable,querystringValue,querystring_value
.ts,variable,getOpenAIModels,get_open_aimodels
.svelte,variable,cosineSimilarity,cosine_similarity
.ts,variable,getBanners,get_banners
.js,function,resolveOpenAPI30Strategy,resolve_open_api30strategy
.svelte,variable,selectedReason,selected_reason
.svelte,svelte_prop,deleteHandler,delete_handler
.ts,variable,USAGE_POOL,usage_pool
.js,function,overRest,over_rest
.js,variable,setRequestBodyValidateError,set_request_body_validate_error
.py,variable,IMAGES_OPENAI_API_BASE_URL,images_openai_api_base_url
.py,variable,new_id,new_id
.py,function,get_admin_config,get_admin_config
.js,function,testDocumentSeparator,test_document_separator
.js,function,cloneArray,clone_array
.ts,variable,chatTitle,chat_title
.py,variable,autoconnect,autoconnect
.svelte,variable,chunkSize,chunk_size
.js,function,fill,fill
.ts,variable,units,units
.py,variable,chat_list,chat_list
.js,function,Iterable,iterable
.svelte,variable,importFiles,import_files
.svelte,variable,chatCompletionEventHandler,chat_completion_event_handler
.py,variable,arg,arg
.py,variable,start_msgs,start_msgs
.svelte,function,onFocus,on_focus
.svelte,variable,widescreenMode,widescreen_mode
.js,class,ContextTree,context_tree
.js,function,generateAbsoluteRefPatches,generate_absolute_ref_patches
.js,function,KeyedIterable,keyed_iterable
.js,function,processLexeme,process_lexeme
.ts,function,formatDate,format_date
.svelte,variable,rmsLevel,rms_level
.svelte,svelte_prop,onBack,on_back
.svelte,variable,reasons,reasons
.js,variable,prerender,prerender
.svelte,variable,sanitizedModelTag,sanitized_model_tag
.py,variable,WEBUI_AUTH_TRUSTED_EMAIL_HEADER,webui_auth_trusted_email_header
.js,function,unsupportedIterableToArray_unsupportedIterableToArray,unsupported_iterable_to_array_unsupported_iterable_to_array
.py,class,UpdateConfigForm,update_config_form
.py,variable,addr_info,addr_info
.svelte,svelte_prop,isFirstMessage,is_first_message
.py,function,query_doc,query_doc
.js,function,onunpipe,onunpipe
.py,variable,bitrate,bitrate
.svelte,variable,showEdit,show_edit
.ts,variable,date,date
.py,function,delete_all_groups,delete_all_groups
.svelte,variable,updateConfigHandler,update_config_handler
.py,variable,__event_call__,__event_call__
.ts,variable,updateFileDataContentById,update_file_data_content_by_id
.py,function,update,update
.js,function,Remarkable,remarkable
.js,function,create_element_ownKeys,create_element_own_keys
.svelte,svelte_prop,regenerateResponse,regenerate_response
.py,variable,param_match,param_match
.ts,variable,parseFile,parse_file
.js,function,getRawTag,get_raw_tag
.py,function,get_knowledge_list,get_knowledge_list
.js,function,alloc,alloc
.js,function,shallowArrayEquals,shallow_array_equals
.ts,variable,formData,form_data
.ts,variable,fileUrl,file_url
.js,function,isBuffer,is_buffer
.ts,variable,getChatListByTagName,get_chat_list_by_tag_name
.py,variable,sorted_documents,sorted_documents
.py,variable,delta_name,delta_name
.ts,variable,now,now
.js,function,specmap_noop,specmap_noop
.ts,variable,removeFileFromKnowledgeById,remove_file_from_knowledge_by_id
.js,function,forEachPrimitive,for_each_primitive
.py,class,FolderParentIdForm,folder_parent_id_form
.py,variable,transposed_query_embeddings,transposed_query_embeddings
.js,function,_xtake,_xtake
.js,function,captureMatchIfValid,capture_match_if_valid
.js,function,writeDoubleLE,write_double_le
.js,function,escapeHTML,escape_html
.js,function,yaml,yaml
.js,function,emphasis,emphasis
.py,variable,chat_completion,chat_completion
.js,function,swagger2BaseUrl,swagger2base_url
.js,function,Markdown,markdown
.py,variable,batch_size,batch_size
.svelte,variable,toggleChatBubble,toggle_chat_bubble
.ts,variable,initI18n,init_i18n
.js,function,readBigInt64BE,read_big_int64be
.svelte,variable,_feedbacks,_feedbacks
.js,function,unwrapListeners,unwrap_listeners
.svelte,variable,pipelineDownloadUrl,pipeline_download_url
.svelte,variable,getValves,get_valves
.svelte,svelte_prop,showButtonClassName,show_button_class_name
.js,function,sliceFactory,slice_factory
.ts,variable,percentage,percentage
.svelte,variable,raw,raw
.py,class,MetaData,meta_data
.js,function,indexOf,index_of
.js,function,close,close
.ts,variable,updateFolderParentIdById,update_folder_parent_id_by_id
.py,variable,response_model,response_model
.js,function,createKeyBasedPlugin,create_key_based_plugin
.svelte,function,onDrag,on_drag
.svelte,variable,MAX_PARALLEL_DOWNLOADS,max_parallel_downloads
.js,function,validateEntry,validate_entry
.ts,variable,updateImageGenerationConfig,update_image_generation_config
.py,variable,side_effect,side_effect
.svelte,variable,aspectRatio,aspect_ratio
.svelte,variable,confirmLabel,confirm_label
.js,function,oneOf,one_of
.svelte,variable,textCompletionAreaElement,text_completion_area_element
.svelte,variable,messageId,message_id
.svelte,variable,blobUrl,blob_url
.py,variable,YOUTUBE_LOADER_TRANSLATION,youtube_loader_translation
.ts,variable,location,location
.ts,variable,eventStream,event_stream
.js,class,EphemeralArray,ephemeral_array
.py,function,get_feedbacks,get_feedbacks
.js,function,toInteger,to_integer
.js,function,newSpecErr,new_spec_err
.js,function,visitor_visit,visitor_visit
.js,function,formatProdErrorMessage,format_prod_error_message
.js,function,drainQueue,drain_queue
.js,function,lib_isObject,lib_is_object
.svelte,variable,responseDone,response_done
.ts,variable,dateYear,date_year
.svelte,variable,deleteFileHandler,delete_file_handler
.py,variable,mock_container_client,mock_container_client
.js,function,writeIntLE,write_int_le
.js,function,mergeWithKey,merge_with_key
.js,function,spliceOut,splice_out
.py,function,delete_folder_by_id_and_user_id,delete_folder_by_id_and_user_id
.py,function,get_tags_by_ids_and_user_id,get_tags_by_ids_and_user_id
.js,function,_xIterableReduce,_x_iterable_reduce
.py,variable,new_auth,new_auth
.svelte,variable,OllamaUrl,ollama_url
.svelte,function,file,file
.js,function,isMapLike,is_map_like
.js,function,createConverter,create_converter
